model|file|duration|status|valid
gpt-5.4-nano|./data/editions/item__0001.xml|7.17|success|1
gpt-5.4-nano|./data/editions/item__0002.xml|3.65|success|1
gpt-5.4-nano|./data/editions/item__0003.xml|4.10|failed|1
gpt-5.4-nano|./data/editions/item__0004.xml|2.46|success|1
gpt-5.4-nano|./data/editions/item__0005.xml|4.71|success|1
gpt-5.4-nano|./data/editions/item__0006.xml|16.60|success|1
gpt-5.4-nano|./data/editions/item__0008.xml|9.62|success|1
gpt-5.4-nano|./data/editions/item__0009.xml|5.32|success|1
gpt-5.4-nano|./data/editions/item__0010.xml|2.25|success|1
gpt-5.4-nano|./data/editions/item__0011.xml|4.50|success|1
gpt-5.4-nano|./data/editions/item__0001.xml|7.66|failed|false
gpt-5.4-nano|./data/editions/item__0002.xml|5.03|success|true
gpt-5.4-nano|./data/editions/item__0003.xml|6.14|success|true
gpt-5.4-nano|./data/editions/item__0004.xml|2.46|success|true
gpt-5.4-nano|./data/editions/item__0005.xml|3.28|success|true
gpt-5.4-nano|./data/editions/item__0006.xml|11.06|success|false
gpt-5.4-nano|./data/editions/item__0008.xml|11.06|success|true
gpt-5.4-nano|./data/editions/item__0009.xml|8.19|success|false
gpt-5.4-nano|./data/editions/item__0010.xml|2.66|success|true
gpt-5.4-nano|./data/editions/item__0011.xml|4.30|success|true
gpt-5.4-nano|./data/editions/item__0001.xml|5.77|success|true
